bug_type,num_rows,example_source_id,example_category,example_bug_family,example_original_statement,example_buggy_statement,example_targeted_oracle,example_expected_failure_mode,example_file_name_updated,proposed_mutation_type,review_notes
BODY_MUL_TO_ADD,3,tests/4.5/target_teams_distribute/test_target_teams_distribute_reduction_multiply.c,target_teams_distribute,loop_body,result *= a[x + y];,result += a[x + y];,oracle checks host_result == result for each 16-element chunk,loop body updates reduction variable using the wrong operator,test_target_teams_distribute_reduction_multiply_BODY_MUL_TO_ADD.c,CHANGE_ASSIGNMENT,Ordinary loop-body update changes multiplication accumulation to addition accumulation.
BODY_SUB_TO_ADD,3,tests/4.5/target_teams_distribute/test_target_teams_distribute_reduction_subtract.c,target_teams_distribute,loop_body,total -= a[x] + b[x];,total += a[x] + b[x];,oracle checks host_total == total,loop body updates reduction variable using the wrong operator,test_target_teams_distribute_reduction_subtract_BODY_SUB_TO_ADD.c,CHANGE_ASSIGNMENT,Ordinary loop-body update changes subtraction accumulation to addition accumulation.
REDUCTION_BITAND_TO_BITOR,3,tests/4.5/target_teams_distribute/test_target_teams_distribute_reduction_bitand.c,target_teams_distribute,reduction,#pragma omp target teams distribute reduction(&:b) defaultmap(tofrom:scalar),#pragma omp target teams distribute reduction(|:b) defaultmap(tofrom:scalar),oracle checks b == host_b,target teams distribute reduction operator is changed,test_target_teams_distribute_reduction_bitand_REDUCTION_BITAND_TO_BITOR.c,CHANGE_OPERATOR,OpenMP reduction operator changes from & to |.
REDUCTION_BITOR_TO_BITAND,3,tests/4.5/target_teams_distribute/test_target_teams_distribute_reduction_bitor.c,target_teams_distribute,reduction,#pragma omp target teams distribute reduction(|:b) defaultmap(tofrom:scalar),#pragma omp target teams distribute reduction(&:b) defaultmap(tofrom:scalar),oracle checks b == host_b,target teams distribute reduction operator is changed,test_target_teams_distribute_reduction_bitor_REDUCTION_BITOR_TO_BITAND.c,CHANGE_OPERATOR,OpenMP reduction operator changes from | to &.
REDUCTION_BITXOR_TO_BITOR,3,tests/4.5/target_teams_distribute/test_target_teams_distribute_reduction_bitxor.c,target_teams_distribute,reduction,#pragma omp target teams distribute reduction(^:b) defaultmap(tofrom:scalar),#pragma omp target teams distribute reduction(|:b) defaultmap(tofrom:scalar),oracle checks b == host_b,target teams distribute reduction operator is changed,test_target_teams_distribute_reduction_bitxor_REDUCTION_BITXOR_TO_BITOR.c,CHANGE_OPERATOR,OpenMP reduction operator changes from ^ to |.
THREE_K_TO_TWO_K,3,tests/5.0/target_parallel_loop/test_target_parallel_loop_bind.c,target_parallel_loop,loop_body,arr[i][j][k] += i+2*j+3*k;,arr[i][j][k] += i+2*j+2*k;,oracle checks arr[i][j][k] == 1 + i + 2*j + 3*k,loop body uses 2*k instead of 3*k,test_target_parallel_loop_bind_THREE_K_TO_TWO_K.c,CHANGE_ASSIGNMENT,Ordinary loop-body formula changes coefficient from 3*k to 2*k.
WRONG_DECLARE_TARGET_COMPUTE,3,tests/4.5/declare_target/test_declare_target_end_declare_target.c,declare_target,loop_body,a[i] = b[i]*c[i] + aint * i;,a[i] = b[i]*c[i] + (aint + 1) * i;,"OMPVV_TEST_AND_SET_VERBOSE(errors, x[i] != (y[i] * z[i] + 10 * i))",declare-target function computes 11*i contribution while oracle expects 10*i,test_declare_target_end_WRONG_AINT_TERM.c,CHANGE_ASSIGNMENT,Declare-target function body computes the wrong arithmetic expression.
BODY_BITXOR_TO_BITOR,2,tests/4.5/target_teams_distribute/test_target_teams_distribute_reduction_bitxor.c,target_teams_distribute,loop_body,b = (b ^ a[x]);,b = (b | a[x]);,oracle checks b == host_b,loop body updates reduction variable using the wrong operator,test_target_teams_distribute_reduction_bitxor_BODY_BITXOR_TO_BITOR.c,CHANGE_ASSIGNMENT,Ordinary loop-body computation changes bitwise XOR to OR.
BODY_FMAX_TO_FMIN,2,tests/4.5/target_teams_distribute/test_target_teams_distribute_reduction_max.c,target_teams_distribute,loop_body,"result = fmax(a[x] + b[x], result);","result = fmin(a[x] + b[x], result);",oracle checks result == host_max,loop body updates reduction variable using the wrong operator,test_target_teams_distribute_reduction_max_BODY_FMAX_TO_FMIN.c,CHANGE_ASSIGNMENT,Ordinary loop-body computation changes max-like update to min-like update.
BODY_FMIN_TO_FMAX,2,tests/4.5/target_teams_distribute/test_target_teams_distribute_reduction_min.c,target_teams_distribute,loop_body,"result = fmin(result, a[x] + b[x]);","result = fmax(result, a[x] + b[x]);",oracle checks result == host_min,loop body updates reduction variable using the wrong operator,test_target_teams_distribute_reduction_min_BODY_FMIN_TO_FMAX.c,CHANGE_ASSIGNMENT,Ordinary loop-body computation changes min-like update to max-like update.
C_ADD_B_TO_SUB_B,2,tests/4.5/target_update/test_target_update_if.c,target_update,loop_body,c[j] = (c[j] + b[j]);//if b is updated c=16 else c=14,c[j] = (c[j] - b[j]);//if b is updated c=16 else c=14,oracle expects c[i] == 16 or c[i] == 14 depending on change_flag,target subtracts b instead of adding it,test_target_update_if_C_ADD_B_TO_SUB_B.c,CHANGE_ASSIGNMENT,Ordinary statement subtracts b[j] instead of adding it.
DEVICE_PLUS10_TO_PLUS9,2,tests/5.0/requires/test_requires_unified_shared_memory_heap_is_device_ptr.c,requires,loop_body,anArray[i] += 10;,anArray[i] += 9;,oracle checks anArray[i] == i + 20,device-side USM update adds 9 instead of 10,test_requires_unified_shared_memory_heap_is_device_ptr_DEVICE_PLUS10_TO_PLUS9.c,CHANGE_CONSTANT,Numeric literal in device-side update changes from 10 to 9.
IF_GE_TO_GT,2,tests/4.5/target_teams_distribute/test_target_teams_distribute_if.c,target_teams_distribute,condition,#pragma omp target teams distribute if(attempt >= ATTEMPT_THRESHOLD) map(tofrom: a),#pragma omp target teams distribute if(attempt > ATTEMPT_THRESHOLD) map(tofrom: a),checks a[i] == 1 + ATTEMPT_THRESHOLD,attempt equal to threshold executes in the wrong branch,test_target_teams_distribute_if_IF_GE_TO_GT.c,CHANGE_CONDITION,Predicate in OpenMP if(...) clause changes from >= to >.
MASTER_TASKLOOP_SIMD_TO_TASKLOOP_SIMD,2,tests/5.0/master_taskloop_simd/test_master_taskloop_simd.c,master_taskloop_simd,directive_semantics,#pragma omp master taskloop simd,#pragma omp taskloop simd,x[i] == 1 + y[i]*z[i] for all i,removing master changes execution context and can invalidate intended single-thread task generation semantics,test_master_taskloop_simd_DROP_MASTER.c,REMOVE_CONSTRUCT,"OpenMP composite construct loses master, changing directive semantics."
MASTER_TASKLOOP_TO_TASKLOOP,2,tests/5.0/master_taskloop/test_master_taskloop.c,master_taskloop,directive_semantics,#pragma omp master taskloop,#pragma omp taskloop,x[i] == 1 + y[i]*z[i] for all i,removing master changes execution context and can invalidate intended single-thread task generation semantics,test_master_taskloop_DROP_MASTER.c,REMOVE_CONSTRUCT,"OpenMP composite construct loses master, changing directive semantics."
PLUS1_TO_PLUS2,2,tests/5.0/teams_loop/test_target_teams_loop_device.c,teams_loop,loop_body,a[i] = a[i] + 1;,a[i] = a[i] + 2;,oracle checks a[i] == total_dev,each device pass increments by 2 instead of 1,test_target_teams_loop_device_PLUS1_TO_PLUS2.c,CHANGE_CONSTANT,Numeric literal in update changes from 1 to 2.
TEAM_NUM_PLUS_ONE,2,tests/6.0/target/test_target_teams_groupprivate.c,target,loop_body,group_sum = omp_get_team_num();,group_sum = omp_get_team_num() + 1;,oracle checks team_sum equals sum of team numbers,groupprivate value is one too high,test_target_teams_groupprivate_TEAM_NUM_PLUS_ONE.c,CHANGE_ASSIGNMENT,Ordinary assignment expression changes runtime value by adding 1.
UPDATE_A_PLUS1_TO_PLUS2,2,tests/5.0/declare_target/test_declare_target_device_type_any.c,declare_target,loop_body,a[i] += 1;,a[i] += 2;,oracles check a[i] == i+1 after target update and i+2 after host update,declare-target update increments a by 2 instead of 1,test_declare_target_device_type_any_UPDATE_A_PLUS1_TO_PLUS2.c,CHANGE_CONSTANT,Numeric literal in update changes from 1 to 2.
UPDATE_TO_TO_FROM,2,tests/4.5/target_update/test_target_update_if.c,target_update,target_update,#pragma omp target update if (change_flag) to(b[:N]) //update b=4 for all odd iterations,#pragma omp target update if (change_flag) from(b[:N]) //update b=4 for all odd iterations,"when change_flag is true, oracle expects device b to be updated to 4 and c[i] == 16",host-updated b is not copied to device,test_target_update_if_UPDATE_TO_TO_FROM.c,CHANGE_MAPPING,"Target update direction changes from to to from, altering data movement."
WRONG_PREFIX_OUTPUT_INDEX,2,tests/4.5/target_simd/test_target_simd_collapse.c,target_simd,loop_body,b[x][y][z + 1] = b[x][y][z] + a[x][y][z];,b[x][y][z] = b[x][y][z] + a[x][y][z];,"OMPVV_TEST_AND_SET(errors, ((temp_total - b[x][y][z]) != 0))",prefix output is written to the current index instead of the next index,test_target_simd_collapse_WRONG_ARRAY_INDEX.c,CHANGE_VARIABLE,"Array index/reference changes from z + 1 to z, so the wrong output location is written."
X_10_TO_9,2,tests/5.0/target_requires/test_target_requires_atomic_default_mem_order_acq_rel.c,target_requires,loop_body,x = 10;,x = 9;,oracle checks x == 10,producer writes 9 instead of 10,test_target_requires_atomic_default_mem_order_acq_rel_X_10_TO_9.c,CHANGE_CONSTANT,Numeric literal assignment changes from 10 to 9.
Y_PLUS2_TO_MINUS2,2,tests/5.1/order/test_taskloop_simd_order_reproducible_device.c,order,loop_body,y[i] = x[i] + 2;,y[i] = x[i] - 2;,oracle checks y[i] == i+4,second taskloop subtracts 2 instead of adding 2,test_taskloop_simd_order_reproducible_device_Y_PLUS2_TO_MINUS2.c,CHANGE_ASSIGNMENT,Ordinary assignment expression changes from addition to subtraction.
ADD_DEV_PLUS_ONE_TO_DEV,1,tests/4.5/target/test_target_device.c,target,loop_body,array[i] += dev + 1;,array[i] += dev;,oracle checks array[i] == dev after starting from -1,array becomes dev-1 instead of dev,test_target_device_ADD_DEV_PLUS_ONE_TO_DEV.c,CHANGE_ASSIGNMENT,"Ordinary update expression drops +1, changing the computed value."
ADD_DEV_TO_ADD_ONE,1,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_devices.c,target_teams_distribute_parallel_for,loop_body,a[i] += dev;,a[i] += 1;,"OMPVV_TEST_AND_SET(errors, a[i] != 1 + dev)","for dev != 1, array values do not match expected per-device increment",test_target_teams_devices_ADD_DEV_TO_ADD_ONE.c,CHANGE_VARIABLE,Device-dependent variable dev is replaced with fixed literal 1.
ADD_TO_NOOP,1,tests/4.5/target_simd/test_target_simd_simdlen.c,target_simd,loop_body,A[i] += A[i];,A[i] = A[i];,"OMPVV_TEST_AND_SET(errors, A[i] != 1<<7)","first loop leaves A unchanged, so final value is not 128",test_target_simd_simdlen_ADD_TO_NOOP.c,CHANGE_ASSIGNMENT,Ordinary update is replaced by a no-op self-assignment.
ARRAY_ASSIGN_10_TO_9,1,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_map_from.c,target_teams_distribute_parallel_for,loop_body,a[j] = 10;,a[j] = 9;,oracle checks a[i] == 10,array copied back with wrong value,test_target_teams_map_from_ARRAY_10_TO_9.c,CHANGE_CONSTANT,Numeric literal assignment changes from 10 to 9.
ARR_TEAM_NUM_TO_THREAD_NUM,1,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_dist_schedule.c,target_teams_distribute_parallel_for,loop_body,arr[i] = omp_get_team_num();,arr[i] = omp_get_thread_num();,chunk check expects arr values to identify static distribution by team,"array records thread number instead of team number, breaking the chunking oracle",test_target_teams_dist_schedule_TEAM_NUM_TO_THREAD_NUM.c,CHANGE_RUNTIME_CALL,Runtime call changes from omp_get_team_num() to omp_get_thread_num().
ASSIGN_ZERO,1,tests/5.0/target_simd/test_target_simd_order_concurrent.c,target_simd,loop_body,c[i] = struct_t.a[i] * b[i];,c[i] = 0;,oracle checks c[i] == struct_t.a[i] * b[i],target simd writes zero instead of product,test_target_simd_order_concurrent_ASSIGN_ZERO.c,CHANGE_ASSIGNMENT,Computation is replaced with assignment to zero.
ATOMIC_MEM_ORDER_ACQ_REL_TO_RELAXED,1,tests/5.0/target_requires/test_target_requires_atomic_default_mem_order_acq_rel.c,target_requires,requires,#pragma omp requires atomic_default_mem_order(acq_rel),#pragma omp requires atomic_default_mem_order(relaxed),oracle checks thread observing y==1 also observes x==10,default atomic memory order is weakened from acq_rel to relaxed,test_target_requires_atomic_default_mem_order_acq_rel_ACQ_REL_TO_RELAXED.c,CHANGE_CLAUSE,OpenMP requires atomic_default_mem_order argument changes from acq_rel to relaxed.
ATOMIC_MEM_ORDER_SEQ_CST_TO_RELAXED,1,tests/5.0/target_requires/test_target_requires_atomic_default_mem_order_seq_cst.c,target_requires,requires,#pragma omp requires atomic_default_mem_order(seq_cst),#pragma omp requires atomic_default_mem_order(relaxed),oracle checks thread observing y==1 also observes x==10,default atomic memory order is weakened from seq_cst to relaxed,test_target_requires_atomic_default_mem_order_seq_cst_SEQ_CST_TO_RELAXED.c,CHANGE_CLAUSE,OpenMP requires atomic_default_mem_order argument changes from seq_cst to relaxed.
A_ADD_TO_SUB,1,tests/5.0/program_control/test_omp_get_device_num.c,program_control,loop_body,a[i] = b[i] + c[i];,a[i] = b[i] - c[i];,oracle checks a[i] == i + 5,target computation subtracts c from b instead of adding,test_omp_get_device_num_A_ADD_TO_SUB.c,CHANGE_ASSIGNMENT,Ordinary assignment expression changes from addition to subtraction.
A_I2_TO_I,1,tests/5.0/target/test_target_map_with_close_modifier.c,target,loop_body,a[i] += i*2;,a[i] += i;,oracle checks a[i] == i*3,array update adds i instead of 2*i,test_target_map_with_close_modifier_A_I2_TO_I.c,CHANGE_ASSIGNMENT,Ordinary update expression changes from adding 2*i to adding i.
A_PLUS1_TO_PLUS2,1,tests/5.2/declare_target/test_declare_target_enter.c,declare_target,loop_body,a[i] += 1;,a[i] += 2;,oracle expects a[i] == i+1 after target update and i+2 after host update,update increments a by 2 instead of 1,test_declare_target_enter_A_PLUS1_TO_PLUS2.c,CHANGE_CONSTANT,Numeric literal in update changes from 1 to 2.
B_ADD_TO_SUB,1,tests/4.5/target_update/test_target_update_from.c,target_update,loop_body,b[j] = (a[j] + b[j]);// b = 12,b[j] = (a[j] - b[j]);// b = 12,first oracle checks b[i] == 12 after target update,device computes 8 instead of 12,test_target_update_from_B_ADD_TO_SUB.c,CHANGE_ASSIGNMENT,Ordinary assignment expression changes addition to subtraction.
B_PLUS2_TO_PLUS1,1,tests/5.2/declare_target/test_declare_target_enter_device_type_any.c,declare_target,loop_body,b[i] += 2;,b[i] += 1;,oracle expects b[i] == i+3 after target update and i+5 after host update,update increments b by 1 instead of 2,test_declare_target_enter_device_type_any_B_PLUS2_TO_PLUS1.c,CHANGE_CONSTANT,Numeric literal in update changes from 2 to 1.
B_PLUS_A_TO_MINUS_A,1,tests/5.0/task/test_task_affinity_device.c,task,loop_body,B[i] += A[i];,B[i] -= A[i];,oracle checks B[i] == i*3,second task subtracts A[i] instead of adding it,test_task_affinity_device_B_PLUS_A_TO_MINUS_A.c,CHANGE_ASSIGNMENT,Ordinary update changes from adding A[i] to subtracting A[i].
COMPUTE_INCREMENT_I_TO_I_PLUS_ONE,1,tests/4.5/target/test_target_map_array_default.c,target,loop_body,compute_array[i] += i;,compute_array[i] += i + 1;,oracle compares sum against result += 10 + i,target adds one extra per element,test_target_map_array_default_COMPUTE_INCREMENT_I_TO_I_PLUS_ONE.c,CHANGE_ASSIGNMENT,Ordinary update expression changes from +i to +i+1.
COPY_VALUE_PLUS_ONE,1,tests/4.5/target_data/test_target_data_map_to_from.c,target_data,loop_body,h_array2_h[i] = h_array_h[i];,h_array2_h[i] = h_array_h[i] + 1;,"OMPVV_TEST_AND_SET_VERBOSE(errors, ((N - sum) != 0))",sum becomes 2*N instead of expected N,test_target_data_map_to_from_WRONG_COPY_VALUE.c,CHANGE_ASSIGNMENT,Copy statement changes from direct copy to copy plus one.
C_ADD_TO_SUB,1,tests/4.5/task/test_task_target.c,task,loop_body,c[i] = a[i] + b[i];,c[i] = a[i] - b[i];,final oracle checks c[i] == i + 10,final target task subtracts b instead of adding it,test_task_target_C_ADD_TO_SUB.c,CHANGE_ASSIGNMENT,Ordinary assignment expression changes addition to subtraction.
C_PLUS_B_TO_MINUS_B,1,tests/5.0/target/test_target_task_depend_mutexinoutset.c,target,loop_body,c += b; /* Task T5 */,c -= b; /* Task T5 */,oracle checks d == 6,T5 subtracts b instead of adding it,test_target_task_depend_mutexinoutset_C_PLUS_B_TO_MINUS_B.c,CHANGE_ASSIGNMENT,Ordinary update changes from +=b to -=b.
DEFAULT_STRUCT_TO_EXPLICIT_TO,1,tests/4.5/target/test_target_map_struct_default.c,target,target_mapping,#pragma omp target,#pragma omp target map(to: single),test_map_struct checks single.a == 1 and single.b[i] == 1 after target,single struct updates are not copied back when explicit to-only mapping replaces default tofrom,test_target_map_struct_default_TARGET_TO_TARGET_MAP_SINGLE_TO.c,CHANGE_MAPPING,"Target mapping behavior changes from default mapping to explicit map(to: single), preventing copy-back."
DEVICE_PLUS10_TO_PLUS11,1,tests/5.0/requires/test_requires_unified_shared_memory_static_is_device_ptr.c,requires,loop_body,aPtr[i] += 10;,aPtr[i] += 11;,oracle checks anArray[i] == i + 20,device-side update adds 11 instead of 10,test_requires_unified_shared_memory_static_is_device_ptr_DEVICE_PLUS10_TO_PLUS11.c,CHANGE_CONSTANT,Numeric literal in update changes from 10 to 11.
DEVICE_PLUS2_TO_PLUS1,1,tests/5.0/target/test_target_in_reduction.c,target,loop_body,*sum += 2;,*sum += 1;,oracle checks device contribution is 2*N and host contribution is N,device contribution is reduced from 2 per iteration to 1,test_target_in_reduction_DEVICE_PLUS2_TO_PLUS1.c,CHANGE_CONSTANT,Numeric literal in device contribution changes from 2 to 1.
DEVICE_TASK1_OR_TO_AND,1,tests/4.5/target_enter_data/test_target_enter_data_depend.c,target_enter_data,loop_body,h_array[i] = DEVICE_TASK1_BIT | in_1[i] | in_2[i];,h_array[i] = DEVICE_TASK1_BIT & in_1[i] & in_2[i];,"OMPVV_TEST_AND_SET(errors, (N * ALL_TASKS_BITS != sum))",bitwise combination loses expected task bits,test_target_enter_data_depend_DEVICE_TASK1_OR_TO_AND.c,CHANGE_ASSIGNMENT,Ordinary bitwise expression changes from OR combination to AND combination.
DEVICE_TASK_OR_TO_AND,1,tests/4.5/target_update/test_target_update_depend.c,target_update,loop_body,h_array[i] = DEVICE_TASK1_BIT | in_1[i] | in_2[i];,h_array[i] = DEVICE_TASK1_BIT & in_1[i] & in_2[i];,final bitmask sum must equal N * ALL_TASKS_BITS,device task loses expected task bits by using bitwise AND instead of OR,test_target_update_depend_DEVICE_OR_TO_AND.c,CHANGE_ASSIGNMENT,Ordinary bitwise expression changes from OR combination to AND combination.
D_70_TO_69,1,tests/5.2/target_enter_data/test_target_enter_data_map.c,target_enter_data,loop_body,D[i] = 70;,D[i] = 69;,oracle checks D[i] == 70 after target exit data,target writes D as 69 instead of 70,test_target_enter_data_map_D_70_TO_69.c,CHANGE_CONSTANT,Numeric literal assignment changes from 70 to 69.
ENTER_EXIT_IF_GT_TO_LT,1,tests/4.5/target_enter_exit_data/test_target_enter_exit_data_if.c,target_enter_exit_data,condition,#pragma omp target enter data if(size > SIZE_THRESHOLD) map(to: size) map(to: c[0:size]),#pragma omp target enter data if(size < SIZE_THRESHOLD) map(to: size) map(to: c[0:size]),device case expects c[i] == i+1 and host case expects c[i] == 0,conditional enter-data mapping occurs for wrong size regime,test_target_enter_exit_data_if_ENTER_CONDITION_GT_TO_LT.c,CHANGE_CONDITION,OpenMP if(...) clause predicate changes from > to <.
FMAX_TO_FMIN,1,tests/5.0/loop/test_loop_reduction_max_device.c,loop,loop_body,"result = fmax(a[x] + b[x], result);","result = fmin(a[x] + b[x], result);",result == host_max,loop reduction update expression uses the wrong operator,test_loop_reduction_max_device_FMAX_TO_FMIN.c,CHANGE_ASSIGNMENT,Ordinary loop-body/reduction update expression changes from max-like update to min-like update.
FMIN_TO_FMAX,1,tests/5.0/loop/test_loop_reduction_min_device.c,loop,loop_body,"result = fmin(result, a[x] + b[x]);","result = fmax(result, a[x] + b[x]);",result == host_min,loop reduction update expression uses the wrong operator,test_loop_reduction_min_device_FMIN_TO_FMAX.c,CHANGE_ASSIGNMENT,Ordinary loop-body/reduction update expression changes from min-like update to max-like update.
FOUR_L_TO_THREE_L,1,tests/5.0/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_collapse.c,target_teams_distribute_parallel_for,loop_body,a[i][j][k][l] += i+2*j+3*k+4*l;,a[i][j][k][l] += i+2*j+3*k+3*l;,oracle checks a[i][j][k][l] == 1 + i + 2*j + 3*k + 4*l,loop body uses 3*l instead of 4*l,test_target_teams_distribute_parallel_for_collapse_FOUR_L_TO_THREE_L.c,CHANGE_ASSIGNMENT,Ordinary loop-body formula changes coefficient from 4*l to 3*l.
GET_DEVICE_NUM_TO_INITIAL_DEVICE,1,tests/5.0/program_control/test_omp_get_device_num.c,program_control,runtime_api,target_device_num = omp_get_device_num();,target_device_num = omp_get_initial_device();,device-clause loop checks target_device_num == i,runtime query records initial device instead of current target device,test_omp_get_device_num_GET_DEVICE_NUM_TO_INITIAL_DEVICE.c,CHANGE_RUNTIME_CALL,Runtime query changes from omp_get_device_num() to omp_get_initial_device().
HOST_PLUS10_TO_PLUS9,1,tests/5.0/requires/test_requires_unified_shared_memory_stack_is_device_ptr.c,requires,loop_body,aPtr[i] += 10;,aPtr[i] += 9;,oracle checks anArray[i] == i + 20,one of the shared-memory updates adds 9 instead of 10,test_requires_unified_shared_memory_stack_is_device_ptr_HOST_PLUS10_TO_PLUS9.c,CHANGE_CONSTANT,Numeric literal in update changes from 10 to 9.
I2_TO_I3,1,tests/5.1/target/test_target_memcpy_async_no_obj.c,target,loop_body,mem_dev_cpy[i] = i*2; // initialize data on device,mem_dev_cpy[i] = i*3; // initialize data on device,oracle checks mem[i] == i*2,device kernel writes 3*i instead of 2*i,test_target_memcpy_async_no_obj_I2_TO_I3.c,CHANGE_ASSIGNMENT,Ordinary assignment formula changes from i*2 to i*3.
IF0_TO_IF1_FIRST_TASK,1,tests/4.5/task/test_task_if.c,task,condition_semantics,#pragma omp task shared(A) if(0),#pragma omp task shared(A) if(1),A[i] == ((val + inc) * inc) for all i,"first task becomes deferred, breaking intended update order",test_task_if_FIRST_IF0_TO_IF1.c,CHANGE_CONDITION,"OpenMP task if(...) clause condition changes from 0 to 1, altering task execution/defer behavior."
IF_PARALLEL_TO_TARGET,1,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_if_parallel_modifier.c,target_teams_distribute_parallel_for,condition,#pragma omp target teams distribute parallel for if(parallel: attempt >= ATTEMPT_THRESHOLD)\,#pragma omp target teams distribute parallel for if(target: attempt >= ATTEMPT_THRESHOLD)\,oracle expects target execution to always occur on device while parallelism changes with condition,"if modifier is applied to target instead of parallel, changing host/device behavior",test_target_teams_if_parallel_modifier_PARALLEL_TO_TARGET.c,CHANGE_CLAUSE,OpenMP if clause modifier changes from parallel: to target:.
IF_TARGET_TO_PARALLEL,1,tests/4.5/target_teams_distribute_parallel_for/test_target_teams_distribute_parallel_for_if_target_modifier.c,target_teams_distribute_parallel_for,condition,#pragma omp target teams distribute parallel for if(target: attempt >= ATTEMPT_THRESHOLD)\,#pragma omp target teams distribute parallel for if(parallel: attempt >= ATTEMPT_THRESHOLD)\,oracle expects false target-if iterations to execute on host and add 1,"if modifier affects parallel instead of target, changing host/device branch behavior",test_target_teams_if_target_modifier_TARGET_TO_PARALLEL.c,CHANGE_CLAUSE,OpenMP if clause modifier changes from target: to parallel:.
